ActualLandingTime,Airline,AircraftType,RunwayNumber,StandNumber,Date,AWNDmean,PRCPmean,TAVGmean,WDF5mean,WSF2max,WSF5max,WT01max,WT02max,WT03max,WT08max,IceRoad,WetDay,ShipmentWeightCat,NbPlanesLast10Mn,Hour,WeekDay,ParkingArea,StandRank,TaxiTime,LogTaxiTime
2019-01-17 03:18:00,CAR1,A321/2,9.0,128,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,0.0,3,3,16337.8,1,5.0,1.791759469228055
2019-01-17 03:34:00,CAR1,CS100,9.0,37,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,0.0,3,3,13110.0,0,8.000000000000002,2.1972245773362196
2019-01-17 03:36:00,CAR1,A321/2,9.0,9,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,1.0,3,3,16337.8,1,7.0,2.0794415416798357
2019-01-17 03:43:00,CAR1,CS100,0.0,28,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,2.0,3,3,13110.0,0,5.0,1.791759469228055
2019-01-17 03:44:00,CAR1,MD88,9.0,32,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,2.0,3,3,15739.7,1,5.0,1.791759469228055
2019-01-17 03:49:00,CAR1,B737/9-WL,9.0,26,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,2.0,3,3,16223.1,0,5.0,1.791759469228055
2019-01-17 03:50:00,CAR1,A321/2,9.0,50,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,3.0,3,3,16337.8,1,8.000000000000002,2.1972245773362196
2019-01-17 03:53:00,CAR1,MD90/3,0.0,66,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,3.0,3,3,16450.3,1,7.0,2.0794415416798357
2019-01-17 04:08:00,CAR1,B757/2-WL,9.0,31,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,0.0,4,3,20919.9,2,6.0,1.9459101490553132
2019-01-17 04:36:00,CAR1,CS100,0.0,60,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,0.0,4,3,13110.0,0,5.0,1.791759469228055
2019-01-17 05:26:00,CAR1,A321/2,2.0,139,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,0.0,5,3,16337.8,2,7.0,2.0794415416798357
2019-01-17 05:41:00,CAR1,B737/9-WL,2.0,18,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,0.0,5,3,16223.1,2,5.0,1.791759469228055
2019-01-17 08:13:00,CAR1,B757/2-WL,2.0,27,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,0.0,8,3,20919.9,1,5.0,1.791759469228055
2019-01-17 10:06:00,CAR1,B767/4,0.0,23,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,0.0,10,3,34293.8,3,13.0,2.6390573296152584
2019-01-17 10:06:00,CAR1,B767/4,0.0,23,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,0.0,10,3,34293.8,3,13.0,2.6390573296152584
2019-01-17 10:09:00,CAR1,B767/3-WL,0.0,35,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,1.0,10,3,30101.8,3,9.0,2.302585092994046
2019-01-17 10:13:00,CAR1,B757/2-WL,0.0,3,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,2.0,10,3,20919.9,2,5.0,1.791759469228055
2019-01-17 10:15:00,CAR1,A321/2,0.0,51,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,3.0,10,3,16337.8,1,5.0,1.791759469228055
2019-01-17 10:17:00,CAR1,A321/2,2.0,41,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,3.0,10,3,16337.8,1,6.0,1.9459101490553132
2019-01-17 10:23:00,CAR1,A330/2,0.0,14,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,2.0,10,3,38294.0,2,9.0,2.302585092994046
2019-01-17 10:38:00,CAR1,A321/2,2.0,55,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,0.0,10,3,16337.8,1,4.000000000000001,1.6094379124341005
2019-01-17 10:45:00,CAR1,B737/9-WL,2.0,18,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,1.0,10,3,16223.1,2,7.0,2.0794415416798357
2019-01-17 10:50:00,CAR1,B767/3-WL,1.0,131,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,1.0,10,3,30101.8,3,10.0,2.3978952727983707
2019-01-17 10:51:00,CAR1,B737/9-WL,2.0,91,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,2.0,10,3,16223.1,1,5.0,1.791759469228055
2019-01-17 10:53:00,CAR1,B737/9-WL,2.0,81,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,3.0,10,3,16223.1,0,11.0,2.4849066497880004
2019-01-17 10:57:00,CAR1,A330/3,2.0,58,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,3.0,10,3,41344.5,2,8.000000000000002,2.1972245773362196
2019-01-17 11:01:00,CAR1,B737/9-WL,9.0,33,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,2.0,11,3,16223.1,2,7.0,2.0794415416798357
2019-01-17 11:06:00,CAR1,A330/3,0.0,156,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,2.0,11,3,41344.5,2,7.0,2.0794415416798357
2019-01-17 11:12:00,CAR1,B757/3-WL,9.0,83,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,1.0,11,3,24064.1,2,5.0,1.791759469228055
2019-01-17 11:15:00,CAR1,B777/2-LR,0.0,49,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,2.0,11,3,44447.6,3,7.0,2.0794415416798357
2019-01-17 11:17:00,CAR1,B737/9-WL,0.0,89,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,2.0,11,3,16223.1,2,4.000000000000001,1.6094379124341005
2019-01-17 11:27:00,CAR1,MD88,0.0,62,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,0.0,11,3,15739.7,0,5.0,1.791759469228055
2019-01-17 11:28:00,CAR1,MD90/3,9.0,47,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,1.0,11,3,16450.3,2,5.0,1.791759469228055
2019-01-17 11:29:00,CAR1,B757/2-WL,0.0,126,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,2.0,11,3,20919.9,3,9.0,2.302585092994046
2019-01-17 11:30:00,CAR3,CRJ/2,9.0,114,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,3.0,11,3,6031.2,2,8.000000000000002,2.1972245773362196
2019-01-17 11:31:00,CAR1,B717/2,0.0,69,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,4.0,11,3,11573.3,1,8.000000000000002,2.1972245773362196
2019-01-17 11:37:00,CAR3,CRJ/7,9.0,103,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,4.0,11,3,8127.5,3,5.0,1.791759469228055
2019-01-17 11:38:00,CAR1,MD88,0.0,66,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,4.0,11,3,15739.7,1,8.000000000000002,2.1972245773362196
2019-01-17 11:45:00,CAR4,CRJ/9,9.0,44,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,2.0,11,3,9688.3,1,4.000000000000001,1.6094379124341005
2019-01-17 11:47:00,CAR1,73S,9.0,53,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,M,2.0,11,3,9315.5,2,4.000000000000001,1.6094379124341005
2019-01-17 11:55:00,CAR1,B717/2,9.0,88,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,1.0,11,3,11573.3,2,4.000000000000001,1.6094379124341005
2019-01-17 11:59:00,CAR1,MD90/3,0.0,106,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,1.0,11,3,16450.3,1,5.0,1.791759469228055
2019-01-17 12:00:00,CAR4,CRJ/2,0.0,40,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,L,2.0,12,3,6031.2,0,8.000000000000002,2.1972245773362196
2019-01-17 12:02:00,CAR1,MD88,0.0,101,2019-01-17 00:00:00,2.61,0.043000000000000003,42.0,223.33333333333334,8.9,13.0,1.0,0.0,1.0,1.0,1.0,1.0,S,3.0,12,3,15739.7,0,3.0,1.3862943611198906
