Model_Airport_Data;Model_Acchar;Wingspan;Length;Parking Area
A319 ;A319-100;111.9;111.0;12420.9
A319-SL;A319-100 Sharklet;117.5;111.0;13039.3
A319-SL;A319neo Sharklet;117.5;111.0;13039.3
A320;?;111.9;123.3;13791.4
A320/2;A320-200;111.9;123.3;13791.4
A321/2;A321-200;111.9;146.0;16337.8
A330/2;A330-200;197.8;193.6;38294.0
A330/3;A330-300;197.8;209.0;41344.5
A350/9;A350-900;212.4;219.2;46553.2
B717/2;717-200;93.3;124.0;11573.3
B737/7-WL;737-700 with winglets;117.4;110.3;12955.0
B738/8;737-800;112.6;129.5;14579.5
B738/8-WL;737-800 with winglets;117.4;129.5;15205.5
B737/9;737-900;112.6;138.2;15555.3
B737/9-WL;737-900 with winglets;117.4;138.2;16223.1
B757/2-WL;757-200, -200PF with winglets;134.8;155.3;20919.9
B757/3;757-300;124.8;178.6;22293.2
B757/3-WL;757-300 with winglets;134.8;178.6;24064.1
B767/3;767-300;156.1;180.3;28134.0
B767/3-WL;767-300ER with winglets;167.0;180.3;30101.8
B767/4;?;170.3;201.3;34293.8
B767/4;767-400ER;170.3;201.3;34293.8
B777/2;777-200;199.9;209.1;41799.2
B777/2-LR;777-200LR;212.6;209.1;44447.6
CRJ/2;CRJ 100/200 Standard;68.7;87.8;6031.2
CRJ/7;CRJ 700/701/702 Standard;76.3;106.6;8127.5
CRJ/9;CRJ 900 Standard;81.5;118.8;9688.3
MD88;?;107.0;147.1;15739.7
MD90;?;107.8;152.6;16450.3
MD90/3;?;107.8;152.6;16450.3
7HB ;777-200LR;212.6;209.1;44447.6
7HD;777-200ER;199.9;209.1;41799.2
73S;737-200;93.0;100.2;9315.5
CM7;?;27.0;59.0;1593.0
CS100;?;114.0;115.0;13110.0
CS/100;?;114.0;115.0;13110.0
E175 - No;?;78.0;95.0;7413.1
;;;;
;;;;
;;;;
